claim_id,claim,type,location,evidence_cited,evidence_actually_supports,verified_by,verdict,required_revision
C01,"The random walk is nested inside every model considered",mathematical,"paper.tex Forecasters; README:224",none,"No. ridge/elastic-net fit an unpenalised intercept equal to the training mean (ratio 1.000000); XGBoost fits base_score. Slopes-zero gives yhat=ybar_train, not 0.",audit/scripts (intercept check),FALSE,"Delete. State the joint null being tested, or switch to the recursive-mean benchmark."
C02,"Diebold-Mariano is biased toward the smaller model in this setting",statistical,paper.tex sec:cw,"Clark & West 2007 + own simulation","Directionally true in general, but the cited simulation does not show it (C03). Measured DM size vs zero under a genuine null is 57.5% two-sided at h=1 -- oversized, but driven by drift, not only by nesting.",audit/scripts/mc_null.py,PARTIALLY SUPPORTED,"Re-derive; separate the nesting channel from the drift channel."
C03,"The simulation verifies that bias; the null holds by construction",mathematical,paper.tex sec:cw; tests/test_stats.py:103,"tests/test_stats.py:103","No. Population MSPEs are sigma_y^2 vs sigma_y^2+sigma_u^2, differing by 1e-4. Null is FALSE by construction. No parameter is estimated, so no estimation noise exists. DM's 75% rejection is power, not size distortion.",audit/scripts/sim_audit.py (5000 reps),FALSE,"Remove claim; replace experiment with estimated nested-null MC; fix test name and assertion."
C04,"Clark-West restores correct inference",statistical,paper.tex sec:cw; abstract,own simulation,"No. Against the zero benchmark CW rejects 14.2% (ridge) / 22.0% (elastic net) at nominal 5% under a genuine null at h=1, and 23.5% / 26.2% at h=7.",audit/scripts/mc_null.py (400 reps/cell),FALSE AS STATED,"Report measured size. Against the recursive mean, size is 6.2% at h=1 and ~10% at h=7."
C05,"Five of eighteen models reject the null before multiplicity adjustment, against 0.9 expected",empirical,abstract; sec:results-tests,reports/results.csv,"Count reproduces exactly. The 0.9 expectation assumes correct size; measured size implies 2.6-4.0 expected. With the corrected benchmark the count is 7/18 and the identity of the rejecting settings changes.",audit/scripts/retest.py + mc_null.py,COUNT CORRECT / INTERPRETATION FALSE,"Replace 0.9 with the calibrated expectation. Report which settings reject under which benchmark."
C06,"Two results survive false-discovery-rate control",empirical,abstract,reports/results.csv,"Reproduces (BTC h=1 ridge and elastic net, both p_BH=0.0458). Under the corrected benchmark still 2 at the paper's bandwidth, 5 at the Newey-West plug-in bandwidth.",audit/scripts/retest.py,REPRODUCES / NOT ROBUST,"Report the bandwidth sensitivity as a result."
C07,"No result survives family-wise-error-rate control",empirical,abstract,reports/results.csv,"Reproduces at the paper's bandwidth. One survives under the corrected benchmark with the plug-in bandwidth.",audit/scripts/retest.py,REPRODUCES / NOT ROBUST,"Same as C06."
C08,"The surviving models contain a faint statistical signal",empirical,abstract; conclusion,CW p-values,"Not established. 5 observed vs 2.6-4.0 expected under a calibrated null is not evidence. Headline count also hinges on BTC h=7 ridge p=0.0500388.",audit/scripts/mc_null.py,UNSUPPORTED,"Withdraw, or re-establish with a correctly sized test."
C09,"The surviving forecasts are not economically usable",empirical,abstract,"R2_OS -0.0079 and +0.0031; Sharpe intervals","Holds. Strengthened: against the zero benchmark only 1 of 18 settings has positive R2 (+0.0026).",audit R2 comparison,SUPPORTED,"Report R2 against both benchmarks."
C10,"No model exhibits sign-timing skill",empirical,abstract; sec on sign timing,Pesaran-Timmermann,"Conclusion holds but the supporting inference is wrong: the two reported p=0.001 anti-predictive results become p=0.24-0.27 on non-overlapping subsamples.",audit/scripts/pt_and_exec.py,CONCLUSION HOLDS / EVIDENCE INVALID,"Recompute on non-overlapping subsamples across all h phases; delete the rhetorical passage built on p=0.001."
C11,"High-Sharpe strategies are long-only exposure in disguise",economic,abstract; discussion,"visual comparison to buy-and-hold","Holds under measurement: ETH gbm h=1/h=7 are 94%/91% long, beta 0.76/0.89 to buy-and-hold, alpha t = 1.07/1.15.",audit/scripts/exposure.py,SUPPORTED,"Replace the phrase with the decomposition table."
C12,"The study provides a rigorous evaluation protocol",methodological,intro (""the contribution ... is an evaluation protocol""),leakage tests,"The leakage layer is genuine and above the applied standard. The inference layer is not: wrong benchmark, uncalibrated test, overlapping-label sign test, single-timing backtest.",whole audit,HALF TRUE,"Narrow to the leakage protocol, or make the inference layer the contribution (see RESEARCH_PIVOT_MEMO)."
C13,"The findings are consistent with weak-form market efficiency",economic,discussion,negative results,"Overreach given C08. A study whose test is 14-22% oversized cannot bound predictability in either direction. No power analysis is reported.",audit/scripts/mc_null.py,UNSUPPORTED,"Restate as: this design cannot detect an effect of the relevant magnitude. Add a minimum-detectable-effect calculation."
C14,"The results generalize meaningfully beyond the three selected assets",generalization,data section (partly disclaimed),survivorship note,"Not established. 3 hand-picked survivors, one exchange composite, one data vendor, one quote currency, one bar frequency.",n/a,DISCLAIMED BUT STILL IMPLIED IN ABSTRACT/TITLE,"Retitle to the evaluated scope, or expand the universe."
C15,"The code and paper are fully reproducible",infrastructural,reproducibility paragraph,"single command; 154 tests","Partly. 154 tests confirmed; all headline numbers reproduce bit-for-bit from the committed parquet cache. But config end date is None => today, so a cache miss silently re-dates the study, and per-observation forecasts are never persisted.",audit/scripts/gen_forecasts.py,PARTIALLY TRUE,"Pin the end date; commit forecasts.csv and a run manifest."
